time,T,PAR,PET,PP,RG
2019-01-01,9.850000000000001,1.28656,0.3,0.0,2.72
2019-01-02,9.350000000000001,1.4142700000000001,0.5,0.1,2.99
2019-01-03,8.95,0.8088299999999999,0.8,0.9,1.71
2019-01-04,8.35,0.9791099999999999,1.0,0.0,2.07
2019-01-05,9.55,0.5770599999999999,0.9,0.0,1.22
2019-01-06,10.65,0.44461999999999996,0.6,1.6,0.94
2019-01-07,11.1,0.60071,0.6,1.7,1.27
2019-01-08,10.149999999999999,0.7095,0.3,0.9,1.5
2019-01-09,9.600000000000001,0.69531,0.2,0.1,1.47
2019-01-10,9.4,1.25345,0.1,0.2,2.65
2019-01-11,9.05,0.9176199999999999,0.2,1.9,1.94
2019-01-12,9.65,0.6716599999999999,0.5,1.8,1.42
2019-01-13,9.85,0.5770599999999999,0.9,3.4,1.22
2019-01-14,7.95,0.8939699999999999,0.5,1.5,1.89
2019-01-15,9.0,1.0689799999999998,0.4,4.7,2.26
2019-01-16,7.1000000000000005,1.4473799999999999,0.9,7.1,3.06
2019-01-17,5.2,0.9507299999999999,0.7,14.6,2.01
2019-01-18,8.25,1.25345,0.5,9.1,2.65
2019-01-19,8.1,1.62712,0.3,7.3,3.44
2019-01-20,5.699999999999999,1.8541599999999998,0.4,1.9,3.92
2019-01-21,5.65,0.38786,0.8,7.9,0.82
2019-01-22,6.1,0.6574699999999999,0.8,6.7,1.39
2019-01-23,8.8,0.8939699999999999,0.6,5.4,1.89
2019-01-24,11.149999999999999,0.9318099999999999,0.7,1.0,1.97
2019-01-25,10.0,1.6933399999999998,0.5,1.9,3.58
2019-01-26,8.649999999999999,1.4379199999999999,1.0,10.0,3.04
2019-01-27,7.25,1.0169499999999998,1.1,6.9,2.15
2019-01-28,7.05,2.01971,0.9,4.5,4.27
2019-01-29,4.5,1.62239,0.8,5.9,3.43
2019-01-30,3.5,2.46906,0.5,3.8,5.22
2019-01-31,4.45,1.7075299999999998,0.7,21.5,3.61
2019-02-01,1.8499999999999999,3.2589699999999997,0.5,0.0,6.89
2019-02-02,3.0,2.3697299999999997,0.4,2.2,5.01
2019-02-03,6.75,1.0689799999999998,0.4,8.6,2.26
2019-02-04,8.0,3.1549099999999997,0.3,0.0,6.67
2019-02-05,9.4,1.0453299999999999,0.8,17.1,2.21
2019-02-06,6.75,2.0812,0.7,17.8,4.4
2019-02-07,8.149999999999999,1.19196,0.8,7.9,2.52
2019-02-08,8.8,1.92984,1.1,12.6,4.08
2019-02-09,7.050000000000001,1.9392999999999998,1.3,3.8,4.1
2019-02-10,6.25,2.68191,1.2,4.5,5.67
2019-02-11,7.7,2.26094,0.7,0.8,4.78
2019-02-12,10.7,0.5676,0.5,5.9,1.2
2019-02-13,10.75,1.03114,0.8,0.0,2.18
2019-02-14,11.600000000000001,2.6251499999999997,1.5,0.0,5.55
2019-02-15,10.5,0.7899099999999999,0.8,0.6,1.67
2019-02-16,9.45,1.0169499999999998,0.7,13.0,2.15
2019-02-17,8.9,3.1927499999999998,0.9,6.2,6.75
2019-02-18,7.9,3.2637,1.2,2.7,6.9
2019-02-19,8.45,0.61963,0.8,26.3,1.31
2019-02-20,11.7,2.0528199999999996,0.7,5.2,4.34
2019-02-21,12.25,0.6716599999999999,1.1,1.3,1.42
2019-02-22,12.899999999999999,1.28183,1.5,3.8,2.71
2019-02-23,11.55,3.22586,1.4,5.5,6.82
2019-02-24,11.7,1.50887,1.5,0.2,3.19
2019-02-25,13.3,4.00631,2.0,0.0,8.47
2019-02-26,11.75,4.16713,1.5,0.0,8.81
2019-02-27,10.2,4.701619999999999,1.1,0.0,9.94
2019-02-28,9.7,2.54001,0.7,3.8,5.37
2019-03-01,8.9,0.9365399999999999,0.4,8.8,1.98
2019-03-02,8.65,2.36027,1.1,12.9,4.99
2019-03-03,5.0,1.36224,0.8,20.0,2.88
2019-03-04,5.25,3.18329,1.1,4.7,6.73
2019-03-05,8.4,1.47576,0.9,15.4,3.12
2019-03-06,7.85,3.3583,0.8,9.5,7.1
2019-03-07,8.2,5.8652,1.5,4.6,12.4
2019-03-08,9.3,3.24478,0.9,7.3,6.86
2019-03-09,7.5,2.97517,1.1,9.8,6.29
2019-03-10,6.1,4.19551,1.6,2.9,8.87
2019-03-11,9.05,2.48798,1.3,18.0,5.26
2019-03-12,6.9,4.469849999999999,1.3,4.9,9.45
2019-03-13,8.149999999999999,3.6657499999999996,1.5,2.6,7.75
2019-03-14,10.75,0.9270799999999999,0.7,10.2,1.96
2019-03-15,9.45,1.6980699999999997,0.6,14.7,3.59
2019-03-16,7.5,2.9184099999999997,0.9,13.0,6.17
2019-03-17,7.15,6.24833,1.7,3.6,13.21
2019-03-18,9.15,4.76784,1.4,4.1,10.08
2019-03-19,9.3,3.10288,0.8,3.0,6.56
2019-03-20,10.3,2.8427299999999995,0.7,0.5,6.01
2019-03-21,10.850000000000001,4.02996,1.1,1.4,8.52
2019-03-22,8.5,3.7934599999999996,1.2,3.4,8.02
2019-03-23,6.4,4.29484,1.3,0.0,9.08
2019-03-24,5.85,4.1813199999999995,1.2,0.0,8.84
2019-03-25,7.9,5.54829,1.4,0.0,11.73
2019-03-26,6.7,6.7875499999999995,1.5,0.0,14.35
2019-03-27,6.6499999999999995,7.44975,1.6,0.0,15.75
2019-03-28,6.8500000000000005,8.90659,1.7,0.0,18.83
2019-03-29,10.3,5.38747,1.7,0.0,11.39
2019-03-30,9.45,3.0745,1.3,0.0,6.5
2019-03-31,9.6,7.322039999999999,2.1,0.0,15.48
2019-04-01,7.0,4.971229999999999,1.4,0.7,10.51
2019-04-02,5.5,6.007099999999999,1.7,8.2,12.7
2019-04-03,6.15,6.773359999999999,1.9,3.8,14.32
2019-04-04,4.3999999999999995,6.503749999999999,1.4,1.5,13.75
2019-04-05,4.9,6.15846,1.6,0.9,13.02
2019-04-06,10.15,6.09224,1.9,3.0,12.88
2019-04-07,8.049999999999999,4.375249999999999,1.6,0.7,9.25
2019-04-08,11.4,4.59756,2.1,0.3,9.72
2019-04-09,11.6,4.62121,1.7,1.8,9.77
2019-04-10,10.35,5.95034,1.7,0.0,12.58
2019-04-11,11.15,6.98621,2.3,0.0,14.77
2019-04-12,10.6,7.20379,2.3,0.0,15.23
2019-04-13,10.0,2.95625,1.7,10.8,6.25
2019-04-14,9.25,3.65629,1.5,2.0,7.73
2019-04-15,9.5,2.17107,1.3,24.7,4.59
2019-04-16,11.3,8.556569999999999,2.4,0.1,18.09
2019-04-17,13.45,5.26449,2.7,0.0,11.13
2019-04-18,16.4,10.36343,4.3,0.0,21.91
2019-04-19,14.0,8.693739999999998,2.8,0.0,18.38
2019-04-20,12.25,6.990939999999999,2.0,0.0,14.78
2019-04-21,10.85,3.62318,1.1,0.4,7.66
2019-04-22,13.700000000000001,10.33978,3.6,0.0,21.86
2019-04-23,14.549999999999999,4.9239299999999995,2.4,0.4,10.41
2019-04-24,12.0,7.01932,2.3,0.2,14.84
2019-04-25,12.1,9.48838,2.8,3.7,20.06
2019-04-26,8.95,4.46512,1.8,8.7,9.44
2019-04-27,8.600000000000001,9.015379999999999,2.3,3.0,19.06
2019-04-28,11.05,3.7650799999999998,1.3,2.7,7.96
2019-04-29,11.55,3.48601,1.5,18.3,7.37
2019-04-30,10.3,9.21877,2.3,0.9,19.49
2019-05-01,8.7,7.78558,2.1,0.4,16.46
2019-05-02,11.100000000000001,4.6070199999999994,1.6,5.8,9.74
2019-05-03,10.25,9.14782,2.5,0.0,19.34
2019-05-04,9.0,12.525039999999999,3.4,0.0,26.48
2019-05-05,7.45,11.035089999999999,2.7,0.0,23.33
2019-05-06,8.1,9.35121,2.6,0.0,19.77
2019-05-07,10.75,3.7698099999999997,2.0,3.3,7.97
