week,AFC_dairy,cover_LU_dairy,growth_dairy,demand_dairy,stocking_rate_dairy,pregrazing_yield_dairy,diet_grass_dairy,diet_supplement_dairy,AFC_drystock,pregrazing_yield_drystock,growth_drystock,stocking_rate_drystock,demand_drystock,days_ahead_drystock,DM_Moorepark,DM_Grange,DM_Ballyhaise,DM_Athenry,DM_Kilworth,DM_Clonakilty
2020-01-06,,,,,,,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,
2020-01-20,752.0,,5.0,,,,,,,,,,,,,,,,,
2020-01-27,760.0,,4.0,,,,,,,,,,,,,,,,,
2020-02-03,793.0,,6.0,,,,,,,,,,,,,,,,,
2020-02-10,827.0,,6.0,,,,,,,,,,,,,,,,,
2020-02-17,872.0,,8.0,,,,,,,,,,,,,,,,,
2020-02-24,908.0,,8.0,,,,,,,,,,,,0.155,,,,,
2020-03-02,901.0,,9.0,,,,,,,,,,,,0.2,,,,,
2020-03-09,915.0,,10.0,,,,,,,,,,,,0.18,,,,,
2020-03-16,927.0,,13.0,,,,,,,,,,,,,,,,,
2020-03-23,855.0,,14.0,29.0,,,,,,,,,,,,,,,,
2020-03-30,812.0,,20.0,35.0,,,,,,,,,,,,,,,,
2020-04-06,773.0,,27.0,35.0,,,,,,,,,,,,,,,,
2020-04-13,760.0,231.0,42.0,47.0,3.3,,,,,,,,,,,,,,,
2020-04-20,787.0,217.0,55.0,53.0,3.62,,,,,,,,,,,,,,,
2020-04-27,796.0,213.0,62.0,55.0,3.73,,,,,,,,,,,,,,,
2020-05-04,793.0,212.0,64.0,60.0,3.73,1686.0,,,,,,,,,,,,,,
2020-05-11,798.0,200.0,69.0,61.0,4.0,1690.0,,,,,,,,,,,,,,
2020-05-18,733.0,187.0,60.0,59.0,3.9,,,,,,,,,,,,,,,
2020-05-25,720.0,194.0,61.0,57.0,3.71,,,,,,,,,,,,,,,
2020-06-01,751.0,200.0,67.0,56.0,3.7,,,,,,,,,,,,,,,
2020-06-08,694.0,192.0,53.0,51.0,3.6,,,,,,,,,,,,,,,
2020-06-15,637.0,185.0,46.0,48.0,3.44,,,,,,,,,,0.18,,,,,
2020-06-22,665.0,195.0,59.0,50.0,3.4,,,,,,,,,,0.165,,,,,
2020-06-29,711.0,200.0,72.0,54.0,3.55,1617.0,,,,,,,,,0.19,,,,,
2020-07-06,735.0,202.0,72.0,57.0,3.63,1648.0,,,,,,,,,0.156,,,,,
2020-07-13,727.0,207.0,70.0,56.0,3.53,1678.0,,,,,,,,,,,,,,
2020-07-20,725.0,213.0,69.0,55.0,3.4,1612.0,,,,,,,,,,,,,,
2020-07-27,736.0,216.0,65.0,55.0,3.4,1635.0,,,,,,,,,0.137,,,,,
2020-08-03,740.0,222.0,67.0,54.0,3.4,1630.0,,,,,,,,,,,,,,
2020-08-10,787.0,238.0,69.0,52.0,3.3,1630.0,,,,,,,,,,,,,,
2020-08-17,825.0,258.0,70.0,52.0,3.2,1671.0,,,,,,,,,0.113,,,,,
2020-08-24,826.0,258.0,66.0,52.0,3.2,1781.0,,,,,,,,,0.12,,,,,
2020-08-31,860.0,272.0,60.0,50.0,3.16,1840.0,,,,,,,,,0.136,,,,,
2020-09-07,868.0,284.0,53.0,46.0,3.05,1815.0,,,,,,,,,,,,,,
