week,derry,antrim,down,armagh,fermanagh,tyrone
2017-01-02,,,,,,
2017-01-09,,,,,,
2017-01-16,,,,,,
2017-01-23,,,,,,
2017-01-30,,,,,,
2017-02-06,,,,,,
2017-02-13,,,,,,
2017-02-20,,,,,,
2017-02-27,,,,,,
2017-03-06,,,,,,
2017-03-13,,,,,,
2017-03-20,,,,,,
2017-03-27,,,,,,
2017-04-03,26.7,17.7,24.4,17.8,27.4,18.9
2017-04-10,36.0,30.0,39.0,42.0,37.0,27.0
2017-04-17,38.4,54.8,41.1,47.7,47.5,42.3
2017-04-24,56.0,52.0,55.0,53.0,56.0,56.0
2017-05-01,35.8,35.7,63.7,73.4,36.0,55.1
2017-05-08,48.1,76.7,49.6,32.7,75.5,59.5
2017-05-15,102.2,110.4,49.0,37.5,75.2,82.4
2017-05-22,78.0,79.6,61.2,82.2,79.0,89.6
2017-05-29,99.8,98.7,71.4,51.2,76.2,83.8
2017-06-05,92.3,108.4,72.7,80.3,83.1,90.9
2017-06-12,61.1,85.5,61.8,71.4,54.7,85.9
2017-06-19,67.4,76.2,85.2,95.2,87.2,67.3
2017-06-26,65.7,90.6,72.6,75.5,52.5,89.5
2017-07-03,45.4,88.3,46.8,47.1,73.6,60.9
2017-07-10,58.7,55.5,75.2,43.6,63.3,65.1
2017-07-17,61.6,74.2,93.0,58.0,47.9,69.4
2017-07-24,75.7,73.6,81.5,53.9,74.1,73.7
2017-07-31,79.5,63.9,76.0,61.5,55.0,70.5
2017-08-07,62.2,59.3,76.7,55.6,78.6,57.0
2017-08-14,48.0,40.8,79.6,42.8,44.7,56.0
2017-08-21,45.2,65.8,59.3,33.0,58.8,49.3
2017-08-28,78.8,61.7,58.8,67.6,60.2,80.8
2017-09-04,60.8,53.2,69.0,55.9,48.7,52.7
2017-09-11,50.5,57.7,62.2,51.3,55.7,53.6
2017-09-18,33.6,52.6,56.7,48.3,32.1,46.8
2017-09-25,26.0,36.1,69.3,67.8,25.1,56.4
