week,derry,antrim,down,armagh,fermanagh,tyrone
12/09/22,46.8,33.2,40.4,47.9,55.5,47
05/09/22,48.8,34.5,37.7,47.1,56.4,56.1
29/08/22,45.4,39.1,40.6,35.9,65,61.6
22/08/22,47.2,38,32.3,44.5,56.8,39.4
15/08/22,44.4,46.7,27.4,37.4,47.4,47.2
08/08/22,61.7,48.3,51.4,53.4,49.8,59.2
01/08/22,47.6,48.5,42.1,61.5,80.9,56.2
25/07/22,72.1,54.8,42.2,50.2,58.2,64.4
18/07/22,66.5,52.3,51.2,61,70.8,66.1
11/07/22,66,71.7,69.5,62.4,55.4,63
04/07/22,86.8,65.6,57.6,61.9,66.3,65.1
27/06/22,78.4,67.8,44.9,55.8,66.8,69.2
20/06/22,59.1,64.5,61.7,61.6,61.5,54
13/06/22,71.4,66.4,61.8,65.9,70.1,72.2
06/06/22,62.5,67.5,69.3,64,54.6,63.7
30/05/22,78.2,77.7,66.7,71.7,76.7,60
23/05/22,84.9,97.1,86.4,116.8,74.2,75.8
16/05/22,110,90.7,89.4,101,84.6,85.8
09/05/22,88.6,81.5,81,97.2,113.4,77.1
02/05/22,63,68.7,52.7,53.9,55.2,46
25/04/22,51.8,71.7,57.1,50.9,44.8,54.9
18/04/22,48,58.2,56.2,42.6,28.9,27.1
11/04/22,23.1,39,31.1,25.5,19.9,27.1
04/04/22,23.1,37.1,24.8,20,22.1,32.9
28/03/22,21,36.1,24.5,20.1,15.7,19.9
21/03/22,6.6,17.6,16.5,13.7,10.8,11.5
25/10/21,22.5,37.8,34.6,32.3,30,22.4
18/10/21,33.5,48.2,25.1,28.4,31.8,33.6
11/10/21,22.2,49.9,33.6,36.1,38.6,35.9
04/10/21,42.7,37.1,40.9,45.3,49.8,53.2
27/09/21,52.8,48.4,47.8,53.9,60.1,56.9
20/09/21,75.6,58,48,56.2,64.3,58.4
13/09/21,46.5,53.7,53.5,54.7,55.9,68.5
06/09/21,66,60.2,59.8,60.9,62,64.7
30/08/21,74.1,73.3,70,76.8,83.6,75.2
23/08/21,82.4,60.5,62.2,60.5,58.8,68.4
16/08/21,78.2,58.8,64.4,71.9,79.3,74.4
09/08/21,60.8,53.2,42.3,51.2,60.2,57.9
02/08/21,43.3,27.8,26.6,37.4,48.1,45.6
26/07/21,48.9,46.6,25.8,31.9,38,35.8
19/07/21,44.8,55.1,21.3,42.7,64.2,60.4
12/07/21,68.6,41,36.1,56,68.2,63.5
05/07/21,54.6,55.1,48.9,51.4,54,66.1
28/06/21,49.7,54.8,55.9,57.2,58.5,59.2
21/06/21,75,88.2,46.1,63.3,65.7,69.9
14/06/21,89.4,71.3,66.7,72.5,78.4,81.3
07/06/21,105.5,96.2,82,87.6,93.2,95.9
31/05/21,80.5,75.3,75.7,83.3,82.2,78.1
24/05/21,61.2,65.8,63,54.1,62.7,58.8
17/05/21,66.4,56.2,72.2,58.4,71.7,57.4
10/05/21,47,33.7,51.4,47.3,43.2,41.6
03/05/21,39.5,56.8,44,44.4,44.7,46.3
26/04/21,44.5,39.2,44.1,46.9,49.7,46.8
19/04/21,21,27,31.9,33.1,27.6,31.8
12/04/21,33.4,33,20.8,45.7,54.1,21.1
